Day ,Items ,Note ,Amount 
21,Rental Expense,Cash Payment - Rental - San Francisco,2240
20,Human Resource Expense,Staff Dismiss,17000
20,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
20,Salary Expense,Cash Payment - Salary Expense,20240
20,Interest Expense ,Cash Payment - Interest - For Overdraft,3981
20,Depreciation Expense,Non-Cash Expense - Depreciation,10000
20,Rental Expense,Cash Payment - Rental - Detroit,1200
20,Rental Expense,Cash Payment - Rental - Los Angeles,1080
20,Rental Expense,Cash Payment - Rental - Chicago,1600
20,Rental Expense,Cash Payment - Rental - New York,2680
20,Rental Expense,Cash Payment - Rental - Miami,1120
20,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",9660
20,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
20,Rental Expense,Cash Payment - Rental - San Francisco,2240
19,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
19,Salary Expense,Cash Payment - Salary Expense,20608
19,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 2605,16
19,Interest Expense ,Cash Payment - Interest - For Overdraft,3853
19,Depreciation Expense,Non-Cash Expense - Depreciation,10000
19,Rental Expense,Cash Payment - Rental - Detroit,1200
19,Rental Expense,Cash Payment - Rental - Los Angeles,1080
19,Rental Expense,Cash Payment - Rental - Chicago,1600
19,Rental Expense,Cash Payment - Rental - New York,2680
19,Rental Expense,Cash Payment - Rental - Miami,1120
19,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",9730
19,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
19,Rental Expense,Cash Payment - Rental - San Francisco,2240
18,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
18,Salary Expense,Cash Payment - Salary Expense,20976
18,Interest Expense ,Cash Payment - Interest - For Overdraft,3082
18,Depreciation Expense,Non-Cash Expense - Depreciation,10000
18,Rental Expense,Cash Payment - Rental - Detroit,1200
18,Rental Expense,Cash Payment - Rental - Los Angeles,1080
18,Rental Expense,Cash Payment - Rental - Chicago,1600
18,Rental Expense,Cash Payment - Rental - New York,2680
18,Rental Expense,Cash Payment - Rental - Miami,1120
18,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",4200
18,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
18,Rental Expense,Cash Payment - Rental - San Francisco,2240
17,Human Resource Expense,Staff Dismiss,15000
17,Interest Expense ,Cash Payment - Interest - For Overdraft,4110
17,Depreciation Expense,Non-Cash Expense - Depreciation,10000
17,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,168
17,Rental Expense,Cash Payment - Rental - Detroit,1200
17,Rental Expense,Cash Payment - Rental - Los Angeles,1080
17,Rental Expense,Cash Payment - Rental - Chicago,1600
17,Rental Expense,Cash Payment - Rental - New York,2680
17,Rental Expense,Cash Payment - Rental - Miami,1120
17,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",4270
17,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
17,Rental Expense,Cash Payment - Rental - San Francisco,2240
16,Human Resource Expense,Staff Dismiss,13000
16,Human Resource Expense,Staff Dismiss,13000
16,Human Resource Expense,Staff Dismiss,12000
16,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine",500
16,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine",500
16,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine",500
16,Salary Expense,Cash Payment - Salary Expense,22448
16,Shipping Expense,Cash Payment - Move Stock ID: 1525,8963
16,Shipping Expense,Cash Payment - Move Stock ID: 2107,63592
16,Interest Expense ,Cash Payment - Interest - For Overdraft,4110
16,Depreciation Expense,Non-Cash Expense - Depreciation,10000
16,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,159
16,Rental Expense,Cash Payment - Rental - Detroit,1200
16,Rental Expense,Cash Payment - Rental - Los Angeles,1080
16,Rental Expense,Cash Payment - Rental - Chicago,1600
16,Rental Expense,Cash Payment - Rental - New York,2680
16,Rental Expense,Cash Payment - Rental - Miami,1120
16,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",4340
16,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
16,Rental Expense,Cash Payment - Rental - San Francisco,2240
15,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine",500
15,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine",500
15,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine",500
15,Salary Expense,Cash Payment - Salary Expense,23920
15,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 1796,113
15,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 1925,17
15,Interest Expense ,Cash Payment - Interest - For Overdraft,4110
15,Depreciation Expense,Non-Cash Expense - Depreciation,10000
15,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,558
15,Rental Expense,Cash Payment - Rental - Detroit,1200
15,Rental Expense,Cash Payment - Rental - Los Angeles,1080
15,Rental Expense,Cash Payment - Rental - Chicago,1600
15,Rental Expense,Cash Payment - Rental - New York,2680
15,Rental Expense,Cash Payment - Rental - Miami,1120
15,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
15,Rental Expense,Cash Payment - Rental - San Francisco,2240
14,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine",500
14,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine",500
14,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine",500
14,Salary Expense,Cash Payment - Salary Expense,23920
14,Shipping Expense,Cash Payment - Move Stock ID: 1203,14761
14,Interest Expense ,Cash Payment - Interest - For Overdraft,1702
14,Depreciation Expense,Non-Cash Expense - Depreciation,10000
14,Rental Expense,Cash Payment - Rental - Detroit,1200
14,Rental Expense,Cash Payment - Rental - Los Angeles,1080
14,Rental Expense,Cash Payment - Rental - Chicago,1600
14,Rental Expense,Cash Payment - Rental - New York,2680
